title,PublishedAt,ID,URL,views,likes,comments,Last_updated_Date
[𝗢.𝗧.𝗥] 크보도 덕아웃캠이라는거 한번 찍어보고 싶었... ㅠㅠ (1편) | 2024 프리미어12 야구 쿠바 평가전 | 2024 K-베이스볼 시리즈 위드 티빙,2024-11-03 19:44,giFW6B8g6Z8,https://www.youtube.com/watch?v=giFW6B8g6Z8,88629,2200,201,2024-11-18
이제는 국가대표다! #야구,2024-11-03 11:19,PZD2E2T2Ymg,https://www.youtube.com/watch?v=PZD2E2T2Ymg,16048,699,13,2024-11-18
태극마크를 달면 더 강해지는 윤동희🇰🇷(11.02),2024-11-02 19:50,_7tgGHTU2QU,https://www.youtube.com/watch?v=_7tgGHTU2QU,17884,901,25,2024-11-18
프리미어12 예열 완료🔥(11.02),2024-11-02 19:18,mENio6v-WYM,https://www.youtube.com/watch?v=mENio6v-WYM,11031,307,3,2024-11-18
[쿠바 평가전 하이라이트] 11.02 한국 vs 쿠바 | 2차전 | 2024 K-BASEBALL SERIES with TVING | 야구,2024-11-02 18:52,Zvk6AGqAwCw,https://www.youtube.com/watch?v=Zvk6AGqAwCw,162568,1590,378,2024-11-18
[쿠바 vs 대한민국] 2024 K-베이스볼 시리즈 2차전 인터뷰 모음 | 11.02 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-02 18:16,NtO1dnCX4sk,https://www.youtube.com/watch?v=NtO1dnCX4sk,8720,229,29,2024-11-18
[대한민국 vs 쿠바] 2024 K-베이스볼 시리즈의 성공적인 마무리와 프리미어 12 출정식까지!  | 11.02 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-02 18:06,v4dxtLCrurg,https://www.youtube.com/watch?v=v4dxtLCrurg,20235,295,41,2024-11-18
[대한민국 vs 쿠바] 멈출 수 없는 뜨거운 방망이! 8득점을 완성하며 빅이닝을 만드는 대표팀!  | 11.02 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-02 17:35,V_qGhyUxHdY,https://www.youtube.com/watch?v=V_qGhyUxHdY,122037,1017,142,2024-11-18
[대한민국 vs 쿠바] 포기하지 않는 쿠바 대표팀의 추가 득점!  | 11.02 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-02 16:53,b5rQXNdQmoA,https://www.youtube.com/watch?v=b5rQXNdQmoA,6588,46,16,2024-11-18
🥰🥰🥰 #광명시리틀야구단 #야구,2024-11-02 16:46,IvmftdqnL-s,https://www.youtube.com/watch?v=IvmftdqnL-s,8699,282,6,2024-11-18
[대한민국 vs 쿠바] 놓치지 않는 찬스! 추가 득점에 성공하는 대표팀! | 11.02 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-02 16:39,5y2GPGOUgGg,https://www.youtube.com/watch?v=5y2GPGOUgGg,95047,803,63,2024-11-18
[대한민국 vs 쿠바] 따라가는 점수를 만드는 쿠바 대표팀 몬카다의 적시타! | 11.02 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-02 16:09,EOyu0QJ3THw,https://www.youtube.com/watch?v=EOyu0QJ3THw,4880,36,5,2024-11-18
[대한민국 vs 쿠바] 폭발하는 타선! 빅이닝을 완성 시키는 4회 초! | 11.02 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-02 15:36,XrKDaucBqmo,https://www.youtube.com/watch?v=XrKDaucBqmo,48641,418,63,2024-11-18
[대한민국 vs 쿠바] 시리즈 첫 점수를 홈런으로 만든 쿠바 대표팀 기베르트! | 11.02 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-02 15:27,iZ9hBFnjVK4,https://www.youtube.com/watch?v=iZ9hBFnjVK4,5757,41,6,2024-11-18
[대한민국 vs 쿠바] '날아올라' 멋진 호수비를 보여주는 박성한! | 11.02 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-02 15:01,RAmnh6UCtXQ,https://www.youtube.com/watch?v=RAmnh6UCtXQ,18809,793,104,2024-11-18
[대한민국 vs 쿠바] 2024 K-베이스볼 시리즈의 첫 홈런을 쏘아 올린 윤동희! | 11.02 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-02 14:33,t2OcEAEzrq4,https://www.youtube.com/watch?v=t2OcEAEzrq4,47014,828,96,2024-11-18
"[대한민국 vs 쿠바] 2024 K-베이스볼 시리즈 2차전 시작!(feat. 라인업, 애국가, 시구)  | 11.02 | KBO 모먼트 | 2024 K-베이스볼 시리즈",2024-11-02 14:16,MSk_5-W3fV8,https://www.youtube.com/watch?v=MSk_5-W3fV8,10231,162,33,2024-11-18
류중일 감독의 1차전 리뷰✍(11.01),2024-11-02 14:10,nREkJMcdzqs,https://www.youtube.com/watch?v=nREkJMcdzqs,7186,135,2,2024-11-18
1차전 득점의 순간 다시보기🎥(11.01),2024-11-02 14:05,cMh1kCWxpwo,https://www.youtube.com/watch?v=cMh1kCWxpwo,8327,144,5,2024-11-18
국가대표 선발투수 곽빈의 무결점 투구✨(11.01),2024-11-02 13:59,-umr0Y94kcU,https://www.youtube.com/watch?v=-umr0Y94kcU,11552,162,4,2024-11-18
대한민국 야구 국가대표팀 투수!😎,2024-11-02 12:27,-6_c-jpXYVU,https://www.youtube.com/watch?v=-6_c-jpXYVU,14621,593,36,2024-11-18
오늘 경기에도 각 선수들 응원가를 한자리에!🥰,2024-11-02 11:03,H3Fe-gnAedc,https://www.youtube.com/watch?v=H3Fe-gnAedc,10804,330,4,2024-11-18
진정한 야구팬은 윤수일의 아파트!😎 #야구 #대한민국,2024-11-02 11:01,QvNGNEXlVo0,https://www.youtube.com/watch?v=QvNGNEXlVo0,13681,423,21,2024-11-18
10구단 대통합 엘도라도 😎,2024-11-02 00:30,E9Oe2T7wptM,https://www.youtube.com/watch?v=E9Oe2T7wptM,51555,1590,73,2024-11-18
[쿠바 평가전 하이라이트] 11.01 쿠바 vs 한국 | 1차전 | 2024 K-BASEBALL SERIES with TVING | 야구,2024-11-01 22:59,_pOcRN9q-wE,https://www.youtube.com/watch?v=_pOcRN9q-wE,170556,1376,262,2024-11-18
[쿠바 vs 대한민국] 2024 K-베이스볼 시리즈 1차전 인터뷰 모음 | 11.01 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-01 22:21,1OB8YeBi7Zg,https://www.youtube.com/watch?v=1OB8YeBi7Zg,6251,113,10,2024-11-18
[쿠바 vs 대한민국] 2024 K-베이스볼 시리즈 1차전 마지막 순간 | 11.01 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-01 22:21,ISBo8GupgKM,https://www.youtube.com/watch?v=ISBo8GupgKM,12817,181,23,2024-11-18
[쿠바 vs 대한민국] 심판의 눈으로 보는 국가대표 선수들의 경기는? | 11.01 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-01 21:40,WpzlYeQ7hLM,https://www.youtube.com/watch?v=WpzlYeQ7hLM,12249,115,30,2024-11-18
Safe or Out?🧐(11.01),2024-11-01 21:15,UD9HsO6L1QE,https://www.youtube.com/watch?v=UD9HsO6L1QE,11676,198,11,2024-11-18
[쿠바 vs 대한민국]  ‘아니 이걸 이렇게 쉽게?’ 쿠바 대표팀 몬카다!  | 11.01 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-01 20:34,EnxazrFQIgo,https://www.youtube.com/watch?v=EnxazrFQIgo,17712,98,48,2024-11-18
대한민국 야구대표팀 응원단❤,2024-11-01 20:17,Sjh0cfv_of4,https://www.youtube.com/watch?v=Sjh0cfv_of4,44398,878,53,2024-11-18
10구단 야구팬분이 부르는 키움 이주형 응원가 #팀코리아,2024-11-01 19:46,LWKB7gA8d0s,https://www.youtube.com/watch?v=LWKB7gA8d0s,12781,474,4,2024-11-18
[쿠바 vs 대한민국]  기회를 놓치지 않고 한 점을 더 추가하는 이주형의 깔끔한 적시타! | 11.01 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-01 19:37,OSNJMkXRY8o,https://www.youtube.com/watch?v=OSNJMkXRY8o,14243,204,34,2024-11-18
[쿠바 vs 대한민국] 김도영이 만들어낸 팀 코리아의 첫 득점! | 11.01 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-01 19:06,2DgaptDfiGw,https://www.youtube.com/watch?v=2DgaptDfiGw,149928,945,438,2024-11-18
[쿠바 vs 대한민국]  2024 K-베이스볼 시리즈 시작을 알리는 라인업 소개와 애국가 그리고 시구까지! | 11.01 | KBO 모먼트 | 2024 K-베이스볼 시리즈,2024-11-01 19:05,ciyjC5gExrY,https://www.youtube.com/watch?v=ciyjC5gExrY,25351,392,37,2024-11-18
"기아의 '김도영', 팀 코리아 출격 준비 완료🇰🇷(11.01)",2024-11-01 17:46,H8JO55HrayA,https://www.youtube.com/watch?v=H8JO55HrayA,19992,1393,63,2024-11-18
"삼성 ’김지찬‘, 팀 코리아 출격 준비 완료🇰🇷(11.01)",2024-11-01 17:46,WE2nG1JH_rI,https://www.youtube.com/watch?v=WE2nG1JH_rI,13311,1079,53,2024-11-18
"삼성의 '영웅', 팀 코리아 출격 준비 완료🇰🇷(11.01)",2024-11-01 17:18,jLD6no6WmHw,https://www.youtube.com/watch?v=jLD6no6WmHw,18146,1452,103,2024-11-18
"나야, 신라면 툼바 | 쿠바 야구 대표팀 농심 블라인드 게임",2024-11-01 12:30,sYNyyOAvioE,https://www.youtube.com/watch?v=sYNyyOAvioE,23218,591,75,2024-11-18
쿠바대표팀 연습중!,2024-10-31 23:39,AF_BdJX5Mdw,https://www.youtube.com/watch?v=AF_BdJX5Mdw,10461,168,6,2024-11-18
한국에 온 쿠바 슈퍼스타?,2024-10-31 23:38,C4LEfyYfmtA,https://www.youtube.com/watch?v=C4LEfyYfmtA,8568,136,15,2024-11-18
[𝗢.𝗧.𝗥] 아직 야구 안끝났어요!!! | 프리미어12 대한민국 야구 국가대표팀 소집 현장,2024-10-31 23:17,F7xBg0VJg14,https://www.youtube.com/watch?v=F7xBg0VJg14,101794,2488,461,2024-11-18
[대한민국 vs 쿠바] 아직 끝나지 않았다! 이제는 국가대표 야구다!🇰🇷 | K-BASEBALL SERIES with TVING | 2024 WBSC 프리미어12,2024-10-31 18:39,tKkhPMHWbM0,https://www.youtube.com/watch?v=tKkhPMHWbM0,26856,486,82,2024-11-18
"Fall League MVP, 롯데의 미래 김민석🏆👏🏻(10.29)",2024-10-30 18:11,wIQm9ePy19I,https://www.youtube.com/watch?v=wIQm9ePy19I,8140,224,12,2024-11-18
이 순간 | 𝐊𝐁𝐎 𝐕𝐢𝐛𝐞𝐬 | 기아타이거즈 통합 우승 순간,2024-10-30 01:28,_MWdZ9uKS8k,https://www.youtube.com/watch?v=_MWdZ9uKS8k,66046,3363,242,2024-11-18
[2024 울산-KBO Fall League H/L] 결승전 | NC 다이노스 vs 롯데 자이언츠(10.29),2024-10-29 21:00,zr5zwWi89_g,https://www.youtube.com/watch?v=zr5zwWi89_g,51157,797,140,2024-11-18
2024 울산-KBO Fall League LIVE | 결승전 | NC 다이노스 VS 롯데 자이언츠,2024-10-29 19:30,2OZ-VBkSLSM,https://www.youtube.com/watch?v=2OZ-VBkSLSM,195770,1557,67,2024-11-18
[2024 울산-KBO Fall League H/L] 4강전 2경기 | 팀 LMB vs NC 다이노스(10.28),2024-10-29 18:14,x78mxXIiBnQ,https://www.youtube.com/watch?v=x78mxXIiBnQ,2450,39,3,2024-11-18
2024 KBO 리그 통합 우승의 순간🏆(10.28),2024-10-29 09:21,xFkytymjYhc,https://www.youtube.com/watch?v=xFkytymjYhc,20104,1033,62,2024-11-18
이 순간 #기아타이거즈,2024-10-29 03:52,kTJHfokqBUc,https://www.youtube.com/watch?v=kTJHfokqBUc,101924,6053,235,2024-11-18
우승을 향한 득점 모먼트🐯(10.28),2024-10-29 03:04,-Y00H-jt9KU,https://www.youtube.com/watch?v=-Y00H-jt9KU,108994,2679,89,2024-11-18
내년에는 더 멋진 선수로 올라갈 박찬호🐯✨(10.28),2024-10-29 02:05,6_EKhTRBV7A,https://www.youtube.com/watch?v=6_EKhTRBV7A,21461,953,53,2024-11-18
행복하시죠? 저도 행복합니다😆(10.28),2024-10-29 02:01,qJmjK_mbyNo,https://www.youtube.com/watch?v=qJmjK_mbyNo,11390,424,14,2024-11-18
꽃감독의 약속이 지켜진 순간💐(10.28),2024-10-29 01:57,EQC9ZsJuLuk,https://www.youtube.com/watch?v=EQC9ZsJuLuk,34904,1418,55,2024-11-18
(풀 무해설) ‘고요히 즐기기’ 2024 KBO 리그 통합 우승 기아타이거즈,2024-10-29 01:41,21z8LeJnc2k,https://www.youtube.com/watch?v=21z8LeJnc2k,96750,3502,374,2024-11-18
[2024 KBO 포스트시즌] 한국시리즈 - 시리즈 MVP,2024-10-29 01:05,rcEfRs1V-Mc,https://www.youtube.com/watch?v=rcEfRs1V-Mc,8020,358,16,2024-11-18
KS 5차전 인터뷰 모음 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-29 00:59,e01qiqaeF0A,https://www.youtube.com/watch?v=e01qiqaeF0A,170481,3638,442,2024-11-18
KIA 타이거즈 우승 뒤풀이 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-29 00:58,hb5wRVpczBA,https://www.youtube.com/watch?v=hb5wRVpczBA,262911,5404,484,2024-11-18
[KBO 하이라이트] 10.28 삼성 vs KIA | KS 5차전 | 2024 KBO 포스트시즌 | 야구,2024-10-29 00:48,8HyQHBYaROQ,https://www.youtube.com/watch?v=8HyQHBYaROQ,149985,1696,288,2024-11-18
2024 KBO 리그 통합 우승은 KIA 타이거즈! | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 23:48,PrziJyxthsQ,https://www.youtube.com/watch?v=PrziJyxthsQ,85062,2061,255,2024-11-18
[삼성 vs KIA] 2024년 오늘 이 순간. 이 순간을 표현한다면 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 23:42,dnjj4qI-9J4,https://www.youtube.com/watch?v=dnjj4qI-9J4,266818,5215,819,2024-11-18
[2024 KBO 포스트시즌] 한국시리즈 5차전 - 신한 SOL뱅크 데일리 MVP,2024-10-28 23:00,5VbjAm_cPA0,https://www.youtube.com/watch?v=5VbjAm_cPA0,24676,963,51,2024-11-18
[2024 KBO 포스트시즌] 한국시리즈 5차전 - 경기결과,2024-10-28 22:43,nN2id7Mrark,https://www.youtube.com/watch?v=nN2id7Mrark,19866,535,44,2024-11-18
2024 울산-KBO Fall League LIVE | 4강전 2경기 | 팀 LMB VS NC 다이노스,2024-10-28 22:42,rxtTl8GmktE,https://www.youtube.com/watch?v=rxtTl8GmktE,42864,410,7,2024-11-18
[삼성 vs KIA] '크집자가 좋아했던 썸네일로' 귀중한 점수 추가하는 KIA 박찬호 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 22:26,jAem_y613uE,https://www.youtube.com/watch?v=jAem_y613uE,48005,924,168,2024-11-18
[삼성 vs KIA] '역전 성공!' 경기를 뒤집는 KIA 김태군의 적시타 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 21:17,SC13Ql_I4mc,https://www.youtube.com/watch?v=SC13Ql_I4mc,45487,714,85,2024-11-18
[삼성 vs KIA] '아직 승부를 알 수 없다' KS 5차전 동점으로 따라붙는 KIA 타이거즈! | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 21:01,zUTVxeeDqX4,https://www.youtube.com/watch?v=zUTVxeeDqX4,47587,696,171,2024-11-18
[삼성 vs KIA] '나야 최형우' 추격의 고삐를 당기는 KIA 최형우의 1점 홈런 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 20:25,k1zeAQ5KJpQ,https://www.youtube.com/watch?v=k1zeAQ5KJpQ,28803,558,75,2024-11-18
[삼성 vs KIA] '내가 KIA의 해결사' 점수차 좁히는 KIA 최형우의 1타점 적시타 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 20:12,0UtYMxEREM4,https://www.youtube.com/watch?v=0UtYMxEREM4,21848,287,22,2024-11-18
[삼성 vs KIA] '너희가 하면 우리도 한다' KIA 이창진의 호수비 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 20:12,NHB4xpAQ8Dk,https://www.youtube.com/watch?v=NHB4xpAQ8Dk,17395,336,28,2024-11-18
지옥에서 온 랜디신혜🦹‍♀️(10.28),2024-10-28 19:50,JbJ6bw-gU7c,https://www.youtube.com/watch?v=JbJ6bw-gU7c,27823,1168,58,2024-11-18
[삼성 vs KIA] 연타석 홈런 때려내는 삼성 디아즈의 홈런  | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 19:35,5-4bc4JgvGc,https://www.youtube.com/watch?v=5-4bc4JgvGc,46591,793,189,2024-11-18
[삼성 vs KIA] 실점을 막는 삼성 류지혁의 호수비 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 19:32,PiYkUABcoT8,https://www.youtube.com/watch?v=PiYkUABcoT8,9209,187,33,2024-11-18
[삼성 vs KIA] '반격 시작!' 한 점 추격하는 KIA 타이거즈 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 19:15,Gu-8NaI-Bv8,https://www.youtube.com/watch?v=Gu-8NaI-Bv8,9564,157,34,2024-11-18
"[삼성 vs KIA] KS 5차전을 알리는 소리꾼 이자람, 배우 박신혜 시구 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌",2024-10-28 18:58,Yt9gneRpgRU,https://www.youtube.com/watch?v=Yt9gneRpgRU,42686,706,108,2024-11-18
[삼성 vs KIA] '난세의 영웅' 곧바로 터진 삼성 김영웅의 연속 타자 홈런 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 18:58,hOntN0Z9EXw,https://www.youtube.com/watch?v=hOntN0Z9EXw,27406,636,86,2024-11-18
[삼성 vs KIA] '아직 끝이 아니다!' 기선제압에 성공하는 삼성 디아즈의 홈런 | 10.28 | KBO 모먼트 | KS 5차전 | 2024 KBO 포스트시즌,2024-10-28 18:57,GZt2VVuwMDg,https://www.youtube.com/watch?v=GZt2VVuwMDg,21746,457,87,2024-11-18
리액션 대 분출! 자수정 동굴나라로 떠난 쿠바 대표팀 | 2024 울산-KBO Fall League,2024-10-28 17:34,StK7T9xiWMw,https://www.youtube.com/watch?v=StK7T9xiWMw,4359,115,10,2024-11-18
"한국시리즈 5차전, 양팀 선발투수는 삼성 이승현 선수 vs KIA 양현종 선수입니다!",2024-10-28 16:36,wq0s89h_7iI,https://www.youtube.com/watch?v=wq0s89h_7iI,11057,236,15,2024-11-18
KS5 승리팀은? #야구,2024-10-27 23:31,Ehy_YTZCrAc,https://www.youtube.com/watch?v=Ehy_YTZCrAc,7206,196,13,2024-11-18
선수들과 함께한 소중한 추억💛(10.24),2024-10-27 14:22,lKAwhgXZJtY,https://www.youtube.com/watch?v=lKAwhgXZJtY,4882,83,0,2024-11-18
장쑤의 철벽 외야 수비🧱(10.26),2024-10-27 12:36,Ybq_rIReEKI,https://www.youtube.com/watch?v=Ybq_rIReEKI,7553,71,3,2024-11-18
'RYU' 친구의 쭉 뻗는 홈런🇨🇺(10.26),2024-10-27 11:58,VkdaLGFedZc,https://www.youtube.com/watch?v=VkdaLGFedZc,8214,74,0,2024-11-18
지윤의 삼진 SHOW🎇(10.25),2024-10-26 19:06,VLeLV-aeO5k,https://www.youtube.com/watch?v=VLeLV-aeO5k,3353,47,5,2024-11-18
한결이는 홈런을 찢어🔥(10.25),2024-10-26 19:02,kui467Kr3Ag,https://www.youtube.com/watch?v=kui467Kr3Ag,3357,78,5,2024-11-18
태군마마 납시오🫅(10.26),2024-10-26 18:56,4NjjyyLW0IE,https://www.youtube.com/watch?v=4NjjyyLW0IE,71748,3251,157,2024-11-18
네일 is back!!⚾🔥(10.26),2024-10-26 18:51,VHEew4xq9bE,https://www.youtube.com/watch?v=VHEew4xq9bE,42639,1848,102,2024-11-18
[2024 울산-KBO Fall League H/L] 장쑤 휴즈홀스 vs 롯데 자이언츠(10.26),2024-10-26 18:31,tnCgmYz00kk,https://www.youtube.com/watch?v=tnCgmYz00kk,17807,118,39,2024-11-18
[KBO 하이라이트] 10.26 KIA vs 삼성 | KS 4차전 | 2024 KBO 포스트시즌 | 야구,2024-10-26 18:30,uaK6e95za0w,https://www.youtube.com/watch?v=uaK6e95za0w,187881,2075,481,2024-11-18
2024 울산-KBO Fall League LIVE | 장쑤 휴즈홀스 VS 롯데 자이언츠,2024-10-26 18:23,MPtS5XoWim0,https://www.youtube.com/watch?v=MPtS5XoWim0,70582,415,25,2024-11-18
"[KIA vs 삼성] (무해설) KIA 타이거즈의 KS 4차전 홈런 모음(김태군, 소크라테스) | 10.26 | KBO 모먼트 | KS 4차전 | 2024 KBO 포스트시즌",2024-10-26 18:11,BjPwhepUZz4,https://www.youtube.com/watch?v=BjPwhepUZz4,86850,2220,288,2024-11-18
[KIA vs 삼성] 한국시리즈 4차전 경기 후 인터뷰 | 10.26 | KBO 모먼트 | KS 4차전 | 2024 KBO 포스트시즌,2024-10-26 18:00,c2hQPSnQJxQ,https://www.youtube.com/watch?v=c2hQPSnQJxQ,186680,3532,630,2024-11-18
