team,month,article_count,audience_counts_by_teams,ranking,web_search_count,youtube_views,youtube_likes,youtube_comments
NC,12,0,0,0,0,0.0,0.0,0.0
WO,1,214,0,0,204,923953.0,26674.0,1605.0
WO,2,65,0,0,207,1677952.0,44009.0,2073.0
WO,3,228,33749,7,461,719642.0,22200.0,2680.0
WO,4,532,164904,7,446,2011262.0,86549.0,6547.0
WO,5,494,72244,9,372,895906.0,42256.0,4055.0
WO,6,498,155727,10,555,1585932.0,73064.0,7920.0
WO,7,443,157240,10,448,2574089.0,109808.0,8488.0
WO,8,483,183631,10,431,1325016.0,71076.0,5821.0
WO,9,257,40854,10,465,1803169.0,69022.0,6889.0
WO,10,74,0,0,240,457762.0,22109.0,2796.0
WO,11,109,0,0,277,1028036.0,50800.0,4521.0
WO,12,0,0,0,0,0.0,0.0,0.0
