team,total_contribution
HH,1311807.3939502705
HT,792673.5667112116
KT,197328.02279367298
LG,518470.48766189255
LT,765164.8633174729
NC,213310.6493440941
OB,511105.3902793862
SK,442693.6058741659
SS,654610.1291420311
WO,233055.64280992933
