title,PublishedAt,ID,views,likes,comments,Last_updated_Date
야구는 분위기 싸움이다 #강백호 #고영표,2024-10-10T03:00:36Z,iN2axibM0Wk,20533,1302,54,2024-11-26
우리에게 ‘내일’은 있다 [위즈덕후],2024-10-09T23:30:14Z,ZfVMp2fAzQw,53653,1811,366,2024-11-26
덕아웃 분위기 끌어올려 ↗↗↗↗↗ [비하인드 더 덕아웃],2024-10-09T19:20:45Z,zmPnO3DI2Fg,56517,1843,215,2024-11-26
0% 기적을 향한 치타심 끝내기 안타 ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ [위즈덕후],2024-10-09T10:56:57Z,QY8d6LMSh3A,40176,1689,242,2024-11-26
가을이 뜨거워지는 홈런🔥 #강백호 #문상철 #홈런,2024-10-09T09:52:09Z,yuPnGT0u7UM,13399,998,40,2024-11-26
산책을 산책이라 하지 못하는 천길동.. 뭉치 브이로그 커밍쑨?!🐶 [WIZIP],2024-10-07T09:30:27Z,nQDkSClsos0,21080,815,107,2024-11-26
오늘부터 kt wiz와 지지관계에서 벗어나 kt wiz와 나는 한몸으로 일체가 된다 [위즈덕후],2024-10-05T23:30:07Z,XpSOAS8lteM,33923,1390,161,2024-11-26
마냥 안 된다는 법은 없으니까 [비하인드 더 덕아웃],2024-10-05T17:57:14Z,CAgSOKfPwpE,31396,1314,169,2024-11-26
kt wiz의 2025 뉴 마법사들 등장! 응원가쯤은 기본 장착한 신인 입단식🎵[위즈티비],2024-10-04T09:29:49Z,uE2xckvymIs,31441,970,111,2024-11-26
최초 업셋이 왜 안 나왔는지 알아요? 우리가 5등을 안 해봤기 때문이에요 [위즈덕후],2024-10-03T23:30:02Z,AsQtW-oP1tE,56980,2269,351,2024-11-26
0%의 확률을 뒤집은 마법 [비하인드 더 덕아웃],2024-10-03T17:27:44Z,U18tnyl8TkE,40916,1604,194,2024-11-26
오늘부터 저는 kt wiz 가을 야구 보려고 태어난 사람입니다 [위즈덕후],2024-10-02T23:30:36Z,YoyqgXMgiZA,40723,1678,169,2024-11-26
온 우주의 기운이 kt wiz에게로!💫 [비하인드 더 덕아웃],2024-10-02T21:51:06Z,KtkvC9qecIw,28999,1172,82,2024-11-26
내가 kt wiz인데 마법 못 믿어? 타이브레이커 승률 100%✨ [위즈덕후],2024-10-01T23:30:10Z,rqE5GR97qc4,51332,1785,231,2024-11-26
가자! 잠실로! 학수의 역전 쓰리런💥 #로하스 #역전 #홈런,2024-10-01T13:25:31Z,KA4CbCNBzUw,55452,3229,152,2024-11-26
마법 같은 응원에 힘입어 5년 연속 포스트시즌 진출! [위즈티비],2024-10-01T11:56:14Z,NGF8L-hOqkE,22392,1713,207,2024-11-26
팬 여러분의 함성으로 만든 kt wiz의 가을 마법을 기대해 주세요🍂 [위즈티비],2024-10-01T03:00:22Z,VEkB8NR2gRY,16296,1031,130,2024-11-26
🔎 ‘kt wiz 보다 마법 같은 야구’에 대한 검색 결과 없음 [위즈덕후],2024-09-29T00:48:16Z,iI4PZ04XL-0,30094,1284,145,2024-11-26
어머니~ 차민이가 공을 너무 잘 던져요~♥ [콕터뷰],2024-09-28T16:22:21Z,BgBYTtjq_CA,10976,826,81,2024-11-26
우규민 개인 통산 800경기 출장 달성!🎉 [위즈티비],2024-09-28T08:00:47Z,jwD7OsLKk7Q,6009,579,57,2024-11-26
오늘의 타점 메뉴는 뭔가요? 타구가 이븐 (even)하게 날아갔어요 [위즈덕후],2024-09-28T02:20:39Z,4JwkGNPhve4,25601,977,82,2024-11-26
소형준 사랑하니까💕12회말 끝내기 영웅의 고백 [콕터뷰],2024-09-28T00:55:01Z,Sr8anh9j-C0,10875,780,125,2024-11-26
9회말 강백호의 동점 홈런 & 12회말 장성우 끝내기 희생플라이 ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ ኈ ቼ ዽ ጿ [위즈덕후],2024-09-27T14:41:56Z,QPBQ_SlNiNY,19531,1143,214,2024-11-26
※텅장 주의※ 이것도 사면 이것도 사야지! 거침없이 채워지는 장바구니...💸 [위즈티비],2024-09-26T09:30:15Z,mgxU8dGxG0s,28832,1094,109,2024-11-26
민혁이의 WIZ플레이어는 핑계고! 95즈의 대환장 고요 속의 빡침(?)  [WIZ플레이어],2024-09-25T09:30:22Z,g8PC5bHnmuQ,62832,1739,189,2024-11-26
"kt wiz 왜 자꾸 B컷 야구만 하지? Best(최고의)컷, Beautiful(아름다운)컷, Bright(빛나는)컷 [위즈덕후]",2024-09-24T23:30:22Z,vEQoBzIR4yE,23325,957,114,2024-11-26
좋은 글이 좋은 타구를 만든다 -1번 타자 김민혁- [콕터뷰],2024-09-24T15:33:34Z,J6oMOonZ00A,6649,581,77,2024-11-26
투혼이 만든 삼중살!!!! #김민수 #삼중살 #트리플플레이,2024-09-24T13:06:19Z,5_A6V_42wbI,61527,2011,133,2024-11-26
[대학생리포터] 소원을 들어주는 마법의 감나무✨ #응원메시지 #응원 #ktwiz,2024-09-24T03:00:41Z,uU9UPEr4h3I,4456,236,5,2024-11-26
스카우트팀 등판! 직접 말하는 2025 신인 드래프트 지명 이유는? [위즈티비],2024-09-20T09:30:21Z,bWJHS3gkTm4,17616,536,119,2024-11-26
[대학생리포터] May I be happy? #한차현 #퓨처스리그 #1분다큐 #다큐,2024-09-20T03:00:20Z,VCvo_kux848,9129,524,49,2024-11-26
"kt wiz 왜 4개 국어 해요? 한국어, 장성우 잘했어, 오윤석 멋있어, 불펜들 美쳤어 [위즈덕후]",2024-09-19T23:30:29Z,YBYDxRXNCNA,24704,961,103,2024-11-26
95즈 피셜📢 심우준 달리기 빼고 다 느려..! [콕터뷰],2024-09-19T16:55:53Z,1v4fUPNtW4Q,7995,551,57,2024-11-26
[대학생리포터] 나 95즈인데 추석에 용돈 받았당,2024-09-19T03:00:15Z,Nu3m2Bly4aE,13578,605,26,2024-11-26
끝내기 안타만큼 짜릿한 끝내기 다이빙! #송민섭 #다이빙캐치 #끝내기수비,2024-09-17T09:16:28Z,ef8N7SWzFaE,37743,1769,115,2024-11-26
풍성한 한가위 보내시라고 풍성한 분량... 그 데시벨을 넘어선 안 돼!🔇 [위즈티비],2024-09-17T03:00:29Z,n0OBWuEEHiA,36223,1023,93,2024-11-26
9월 16일 시구자 배우 '금새록'님의 응원 메시지💌 #금새록 #배우 #시구자,2024-09-16T07:02:39Z,hES_cK_AvrE,4918,197,6,2024-11-26
[대학생리포터] 난 야구밖에 몰라 근데 좋아하는 게 또 생겼어🤭,2024-09-15T03:00:12Z,8Ujh_4pIaWU,9599,596,29,2024-11-26
491일 동안 기다렸어! 오늘만을 형준이만을 이날을! [위즈티비],2024-09-13T23:30:01Z,3CVQQyHY__U,23488,1780,187,2024-11-26
[속보] 엄쎄리 KT 종신 선언..! 엄상백 미쳤네 진짜.. (positive),2024-09-13T09:30:01Z,CcU9nx4NcZU,27261,943,178,2024-11-26
"kt wiz는 규소(Si), 황(S), 우라늄(U), 질소(N), 갈륨(Ga), 질소(N), 티타늄(Ti), 아르곤(Ar)으로 만들어졌나? [위즈덕후]",2024-09-13T00:40:09Z,trpIgVgjgMo,23717,877,95,2024-11-26
오열 주의😭 저도 팬분들 때문에 진짜 울 뻔했어요... [콕터뷰],2024-09-12T18:07:07Z,px9HSBnjbOM,14952,1034,156,2024-11-26
9월 12일 시구자 미스월드 코리아 ’김리진‘님의 응원 메시지💌 #김리진 #미스월드코리아 #시구,2024-09-12T10:29:53Z,OCg08AHngmQ,3719,176,12,2024-11-26
🚨긴급점검🚨 위즈티비 구독하셨나요? 아기 마법사들과의 뾰로롱한 첫 만남💫 [위즈티비],2024-09-12T03:00:30Z,VI4PPhkYZk0,24089,963,188,2024-11-26
요즘 어떻게 지내냐는 친구의 말에 12승으로 대답했습니다 [위즈덕후],2024-09-11T23:30:21Z,3pk4YBmvYio,17816,741,100,2024-11-26
1군 체질 동현이가 신인 선수에게 보내는 메시지 💌 [콕터뷰],2024-09-11T16:51:52Z,l8Tst5dzwPs,5902,543,61,2024-11-26
