title,PublishedAt,ID,views,likes,comments,Last_updated_Date
노란 물결로 가득 찬 잠실🌕 PO 3차전 관중석 직캠 [트윈스 치얼업],2024-10-18T09:00:21Z,OVaBReqpoUU,29767,916,312,2024-11-26
가을에 더 강해지는 무적 LG! 끝까지 TWINS!🔥 10월 17일 [덕아웃 직캠],2024-10-18T01:00:23Z,O7ad8SdRY7c,60977,2489,235,2024-11-26
상대를 제압한 무실점 피칭✨ 임찬규&에르난데스의 [트윈스WIN터뷰],2024-10-17T18:14:13Z,jhyBH88o39g,26165,1533,113,2024-11-26
#LG트윈스 에르난데스의 거침없는 포스트시즌 무실점 행진🛡️,2024-10-17T16:34:03Z,TekWjDCGxY0,55945,3860,161,2024-11-26
#LG트윈스 You're still my No.1 임찬규 4K 무실점 피칭✨,2024-10-17T16:03:13Z,ril_VOqFxsc,23283,1570,36,2024-11-26
가을의 투혼을 보여준 9K 투구 모음  [10월 17일 임찬규&에르난데스 하이라이트],2024-10-17T14:56:58Z,gx5flK1W74A,29387,1401,155,2024-11-26
10월 17일 삼성 vs LG [2024 포스트시즌 하이라이트],2024-10-17T14:31:28Z,il5Mh2W5iLw,36715,1203,146,2024-11-26
#LG트윈스 PO 3차전 승리의 하이파이브✋,2024-10-17T13:09:08Z,GkFtyCY7qbY,37051,2523,117,2024-11-26
단장님의 은총?!🧐 희비가 교차하는 정우영 vs 임찬규 컴프야V24 [LP],2024-10-14T10:00:11Z,DVgKyoxVT4w,86714,2310,262,2024-11-26
응원 농도 최고조🔥 준PO 5차전 관중석 직캠 [트윈스 치얼업],2024-10-12T09:00:14Z,HUkGxj6ZLCM,29851,1075,117,2024-11-26
LG트윈스의 가을야구 👊 2024 준플레이오프 승리 하이라이트,2024-10-12T08:30:11Z,ZusXUBiXOjU,17522,998,36,2024-11-26
더 길고 깊은 가을을 향해!🍁 준PO 5차전 승리의 퇴근길 [엘코더],2024-10-12T06:30:00Z,af0mGiazPX0,70471,2820,234,2024-11-26
#LG트윈스 문정빈 9-10월 메디힐 퓨처스 루키상 수상🏆,2024-10-12T05:00:04Z,3Pwrfscapy4,24415,1104,47,2024-11-26
승리의 신바람을 타고 대구로💨 10월 11일 [덕아웃 직캠],2024-10-12T01:00:38Z,uzEgJdmYBXM,99833,3490,279,2024-11-26
준플레이오프 전경기 등판의 역사를 새로 쓴 에르난데스⭐️ [10월 11일 에르난데스 하이라이트],2024-10-11T23:00:19Z,f3XGEeneEps,31548,1592,171,2024-11-26
마운드의 무적 듀오💪 임찬규&손주영의 [트윈스WIN터뷰],2024-10-11T19:02:28Z,CB1HIb26QLk,35941,1973,136,2024-11-26
#LG트윈스 준PO 단일 시즌 팀 최다 도루 신기록을 세우다🏃,2024-10-11T17:35:00Z,DAtG01vIA-U,43974,2015,60,2024-11-26
#LG트윈스 안타를 지우는 트윈스의 수비요정들🧚‍♂️,2024-10-11T17:05:00Z,vrrg8iKhEnQ,48282,2535,62,2024-11-26
#LG트윈스 2이닝 4K 무실점! PS 최고의 좌완 에이스 손주영✨,2024-10-11T16:36:09Z,1VHKHEjLRFs,34034,2515,110,2024-11-26
준플레이오프를 승리로 이끈 MVP 임찬규의 준PO 5차전 호투 모음.zip [10월 11일 임찬규 하이라이트],2024-10-11T15:22:47Z,ToMc2qq8MIY,24938,1267,116,2024-11-26
10월 11일 KT vs LG [2024 포스트시즌 하이라이트],2024-10-11T14:36:47Z,NeTHdmnxOf8,74819,2167,232,2024-11-26
무조건 이겨야 한다는 마음으로👊 10월 8일 [덕아웃 직캠],2024-10-09T01:00:29Z,_sz2cKT1ZPU,61903,2387,236,2024-11-26
#LG트윈스 홍창 기가 막힌 공수 만점 활약😈,2024-10-08T18:25:00Z,HXN3ZTxd8P8,30371,1875,38,2024-11-26
#LG트윈스 오늘의 MVP! 가을 고구마 투수 제철🍠,2024-10-08T17:55:01Z,aK62iYr8LMI,26740,2053,61,2024-11-26
#LG트윈스 준PO 3차전 승리의 홈런 두 방🔥,2024-10-08T17:25:00Z,AeZXS_rZdH4,25085,1727,43,2024-11-26
#LG트윈스 승리를 지켜낸 에르난데스의 마무리 피칭🙌,2024-10-08T16:54:12Z,m4nz_Lv6vsQ,41039,2267,100,2024-11-26
준PO 3차전 끝내주는 활약🌟 오스틴&손주영의 [트윈스WIN터뷰],2024-10-08T16:49:14Z,fkTu8JfaY40,18178,1185,91,2024-11-26
이제 단 하나☝️ 준PO 3차전 승리의 퇴근길 [엘코더],2024-10-08T16:12:41Z,1dtFiSrWgvk,38177,1862,139,2024-11-26
손주영 5.1이닝 7K 준PO 3차전 호투 모음.zip [10월 8일 손주영 하이라이트],2024-10-08T14:52:47Z,jOF1FjHF4gY,14274,973,105,2024-11-26
10월 8일 LG vs KT [2024 포스트시즌 하이라이트],2024-10-08T14:40:26Z,kZMSx5kx2no,37821,1236,150,2024-11-26
#LG트윈스 준PO 3차전 승리의 하이파이브✋,2024-10-08T14:22:39Z,WRz4wVz-tlk,26087,1944,86,2024-11-26
"짜릿한 승리의 노래💛 준PO 1,2차전 관중석 직캠 [트윈스 치얼업]",2024-10-07T09:00:21Z,SDOhJP4i6FI,22390,893,212,2024-11-26
"나야, 엘지트윈스⭐⭐⭐ 10월 6일 [덕아웃 직캠]",2024-10-07T01:00:28Z,VM4cihy8ABI,79947,3335,324,2024-11-26
"#LG트윈스 포스트시즌 6할 타자, 가을의 '신'민재🍁",2024-10-06T15:25:00Z,eAbGXeld1iU,24773,1945,48,2024-11-26
잠실을 가득 채운 노란 물결에 힘 입은 승리💛 임찬규&신민재의 [트윈스WIN터뷰],2024-10-06T15:09:39Z,zxnX_8WddFU,26093,1760,151,2024-11-26
#LG트윈스 이닝을 끝내는 에르난데스의 KK‼️,2024-10-06T14:55:00Z,HKOq481UOEI,26891,1588,38,2024-11-26
#LG트윈스 트윈스의 견고한 수비력✨,2024-10-06T14:25:00Z,Klt1sNb_MXI,44471,2622,77,2024-11-26
#LG트윈스 준PO 2차전 적시타 모먼트🤘,2024-10-06T13:54:06Z,skxY13bmp04,22552,1802,49,2024-11-26
임찬규 5.1이닝 4K 준PO 2차전 호투 모음.zip [10월 6일 임찬규 하이라이트],2024-10-06T11:36:28Z,DukiMeSuTH4,16619,1070,74,2024-11-26
10월 6일 KT vs LG [2024 포스트시즌 하이라이트],2024-10-06T10:54:37Z,12CJzDoS0To,63139,1981,163,2024-11-26
#LG트윈스 준PO 2차전 승리의 하이파이브✋,2024-10-06T09:02:19Z,W-q2xBh697w,28473,2254,107,2024-11-26
끝까지 가보겠습니다! 2024 포스트시즌 선수단 각오 [엘코더],2024-10-04T09:00:18Z,MremJ6rtIhE,41576,2283,317,2024-11-26
호쾌한 한 방! 메가트윈스포💥 2024 정규시즌 결산 홈런 모음,2024-10-04T06:30:02Z,6P8suvmrLsI,45473,1494,109,2024-11-26
#LG트윈스 2024 KBO리그 9~10월 MVP 후보 홍창기,2024-10-04T06:25:41Z,NrFi6GVZcLM,21523,1330,18,2024-11-26
#LG트윈스 2024 KBO리그 9~10월 MVP 후보 임찬규,2024-10-04T06:25:17Z,uuYqVb4aNe8,14456,1184,27,2024-11-26
짜릿한 전율 가득🔥 2024 정규시즌 결산 끝내기 모음,2024-10-04T03:00:17Z,Iol15w_--9U,50921,1918,151,2024-11-26
열정이 이븐하게 익었네요👨‍🍳 포스트시즌 투수조 훈련 스케치 [엘코더],2024-10-03T09:00:16Z,LzGwlGCdz9w,62693,2155,213,2024-11-26
오케이! 가자아아💥 포스트시즌 야수조 훈련 스케치 [엘코더],2024-10-02T09:00:34Z,TkZqX6Mk6zI,73664,2522,260,2024-11-26
잠실 그라운드 입성의 순간🎉 2025 루키즈데이 [트윈스REC],2024-10-01T09:00:10Z,CZzuJtmQmnc,36046,1480,121,2024-11-26
미담 트윈스✨ 선수단이 뽑은 24시즌 MVP는? [덕아웃TMI],2024-09-30T09:00:26Z,_YQQ_SU70Co,85262,2553,246,2024-11-26
#LG트윈스 포스트시즌을 위한 본격 훈련 돌입🔥,2024-09-30T08:10:41Z,10xX6XiK0VM,74557,3456,119,2024-11-26
이제 다시 높은 곳으로! RE:RISE🔥 9월 28일 [덕아웃 직캠],2024-09-29T01:00:01Z,1v6yttPfz0A,69751,2671,207,2024-11-26
데뷔 첫 100타점 주인공 누구👉 문보경의 [트윈스WIN터뷰],2024-09-28T16:11:07Z,-PZDRFP5GM0,22213,1269,86,2024-11-26
"#LG트윈스 정규시즌 마지막 경기, 클로저 유영찬의 깔끔한 KKK‼️",2024-09-28T15:50:00Z,7iIgGFTUYpk,26314,1641,65,2024-11-26
#LG트윈스 홍창 기가 막히고 문보 경이로운 수비🫢,2024-09-28T15:20:00Z,Zy0hOZiP57Y,44035,1931,25,2024-11-26
